feature,type,dR2_nat,dR2_log,dKGE,dAlpha,dRMSE,dBias
phase5_baseline,baseline,0,0,0,0,0,0
turbidity_instant,drop,-0.0490,-0.1610,-0.1320,-0.1090,27.0,-3.9
pct_alluvial_coastal,drop,-0.0280,-0.0010,-0.0060,0.0040,15.9,-2.6
sgmc_sedimentary_iron_formation_undifferentiated,drop,-0.0260,-0.0040,-0.0040,0.0020,14.5,-1.2
sgmc_igneous_intrusive,drop,-0.0220,0.0020,-0.0010,0.0020,12.1,-0.7
conductance_instant,drop,-0.0190,-0.0020,0.0030,0.0040,10.6,1.6
pct_eolian_coarse,drop,-0.0180,-0.0080,0.0020,0.0100,10.3,3.3
sgmc_metamorphic_amphibolite,drop,-0.0140,-0.0030,-0.0060,-0.0020,8.1,-1.1
sgmc_metamorphic_gneiss,drop,-0.0130,-0.0060,-0.0010,0.0040,7.4,0.6
elevation_m,drop,-0.0110,-0.0090,0.0010,0.0060,6.2,-0.7
clay_pct,drop,-0.0110,-0.0060,-0.0040,0.0030,6.5,-0.2
turbidity_max_1hr,drop,-0.0100,-0.0050,0.0010,0.0060,5.9,0.8
precip_7d,drop,-0.0100,-0.0050,-0.0040,0.0020,5.6,-0.8
rising_limb,drop,-0.0100,-0.0020,-0.0070,0.0040,5.6,-2.6
turbidity_std_1hr,drop,-0.0090,-0.0050,-0.0020,0.0020,5.3,2.3
sgmc_metamorphic_sedimentary,drop,-0.0090,-0.0040,-0.0030,0.0040,5.2,-1.2
soil_organic_matter,drop,-0.0090,-0.0060,-0.0040,0.0030,5.5,-0.8
sgmc_igneous_undifferentiated,drop,-0.0090,-0.0060,-0.0060,-0.0060,5.5,-0.6
agriculture_pct,drop,-0.0080,-0.0080,-0.0080,-0.0040,5.8,-0.8
sgmc_tectonite_undifferentiated,drop,-0.0080,-0.0030,-0.0030,0.0030,5.2,-0.3
sgmc_igneous_sedimentary_undifferentiated,drop,-0.0070,-0.0010,-0.0010,0.0030,4.7,-0.0
sgmc_metamorphic_intrusive,drop,-0.0070,-0.0040,-0.0040,0.0000,4.7,-0.4
