site_id,resolved_method,confidence,known_categories,n_unknown_samples,is_catastrophic
USGS-01036390,depth_integrated,high,{'depth_integrated': 4},13,False
USGS-01111230,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 5, 'grab': 1}",6,False
USGS-01311875,,unresolvable,{},47,True
USGS-01362330,depth_integrated,high,{'depth_integrated': 1},48,False
USGS-01362350,depth_integrated,high,{'depth_integrated': 1},31,False
USGS-01362356,depth_integrated,high,{'depth_integrated': 1},32,False
USGS-01362357,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2}",31,False
USGS-01362370,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3, 'grab': 1}",36,False
USGS-01362487,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3}",4,False
USGS-01363556,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 1}",7,False
USGS-01372043,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 7, 'grab': 2}",12,True
USGS-01408500,depth_integrated,low_mixed,"{'depth_integrated': 4, 'grab': 1}",71,False
USGS-01463500,depth_integrated,high,{'depth_integrated': 11},3,False
USGS-01473169,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1}",32,False
USGS-01478185,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2}",13,True
USGS-01478220,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2}",4,False
USGS-01478245,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1}",61,False
USGS-01479820,auto_point,high,{'auto_point': 1},42,False
USGS-01480617,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1}",27,False
USGS-01480870,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 1}",30,False
USGS-01493112,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 7, 'grab': 2}",5,False
USGS-01573660,depth_integrated,high,{'depth_integrated': 2},1,False
USGS-01573695,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",21,True
USGS-01573710,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",23,True
USGS-01574000,depth_integrated,high,{'depth_integrated': 4},19,False
USGS-01575598,depth_integrated,high,{'depth_integrated': 5},45,False
USGS-01575900,depth_integrated,high,{'depth_integrated': 2},16,False
USGS-01576000,depth_integrated,high,{'depth_integrated': 2},3,False
USGS-01576003,,unresolvable,{},15,False
USGS-01576007,depth_integrated,high,{'depth_integrated': 2},5,False
USGS-01576045,depth_integrated,high,{'depth_integrated': 2},3,False
USGS-01576516,,unresolvable,{},13,False
USGS-015765185,,unresolvable,{},17,False
USGS-015765195,depth_integrated,low_mixed,"{'depth_integrated': 2, 'grab': 1}",17,False
USGS-01576980,depth_integrated,high,{'depth_integrated': 1},10,True
USGS-01577500,depth_integrated,high,{'depth_integrated': 5},32,False
USGS-01581752,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 2}",1,False
USGS-01589000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3}",317,False
USGS-01589290,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3}",8,False
USGS-01645704,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",6,False
USGS-01646000,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 2}",1,False
USGS-01649190,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 4, 'grab': 1}",22,False
USGS-01651000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3, 'grab': 1}",2,False
USGS-01651730,auto_point,high,{'auto_point': 1},1,False
USGS-01654500,auto_point,low_mixed,"{'auto_point': 1, 'grab': 1}",13,False
USGS-01656903,auto_point,low_mixed,"{'auto_point': 1, 'depth_integrated': 1, 'grab': 1}",5,False
USGS-01658000,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 1}",91,False
USGS-01668000,depth_integrated,low_mixed,"{'depth_integrated': 7, 'grab': 1}",1,False
USGS-0166818623,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 1}",9,False
USGS-0166818985,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 1}",7,False
USGS-02054750,depth_integrated,high,{'depth_integrated': 7},18,False
USGS-02055080,depth_integrated,high,{'depth_integrated': 7},8,False
USGS-0205551460,auto_point,low_mixed,"{'auto_point': 2, 'depth_integrated': 1, 'grab': 1}",3,False
USGS-0205551614,depth_integrated,low_mixed,"{'depth_integrated': 3, 'grab': 1}",1,False
USGS-02203655,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 2}",13,False
USGS-02203700,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 2}",9,False
USGS-02203960,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 1}",1,False
USGS-02205865,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",1,False
USGS-02207120,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 1}",1,False
USGS-02207185,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 6, 'grab': 2}",5,False
USGS-02207385,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 2}",1,False
USGS-02207400,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",1,False
USGS-02208150,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 2}",2,False
USGS-02217274,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 5, 'grab': 2}",2,False
USGS-02334480,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 2}",1,False
USGS-02334885,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 3, 'grab': 2}",1,False
USGS-02335350,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 2}",5,False
USGS-02336030,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 2}",7,False
USGS-02336120,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 4, 'grab': 2}",11,False
USGS-02336240,depth_integrated,low_mixed,"{'auto_point': 1, 'depth_integrated': 2, 'grab': 2}",3,False
USGS-02336300,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 6, 'grab': 2}",10,False
USGS-02336360,depth_integrated,low_mixed,"{'auto_point': 2, 'depth_integrated': 3, 'grab': 2}",9,False
